"","Gene Set","P Value  0","P Value  1","P Value  2","P Value  3","P Value  4","P Value  5","P Value  6","P Value  7","P Value  8","P Value  9","P Value  10","P Value  11","P Value  12","P Value  13","P Value  14","P Value  15","P Value  16","P Value  17","Fold Change  0","Fold Change  1","Fold Change  2","Fold Change  3","Fold Change  4","Fold Change  5","Fold Change  6","Fold Change  7","Fold Change  8","Fold Change  9","Fold Change  10","Fold Change  11","Fold Change  12","Fold Change  13","Fold Change  14","Fold Change  15","Fold Change  16","Fold Change  17"
"Ovary_dm_31919193_Slaidina","IC","6.46e-5","3.51e-2","1.61e-1","1.61e-1","3.88e-8","-","1.61e-1","3.51e-2","3.51e-2","3.51e-2","8.12e-5","-","3.51e-2","-","-","-","5.78e-3","1.61e-1","8.7081","4.1799","2.7866","2.7866","12.5397","-","2.7866","4.1799","4.1799","4.1799","8.3598","-","4.1799","-","-","-","5.5732","2.7866"
"Ovary_dm_FCAvs2_10x","main body follicle cell ca. until St. 5","1.00e-25","-","-","7.56e-4","1.32e-25","-","-","-","-","-","7.36e-6","-","1.61e-1","-","-","1.61e-1","5.73e-7","-","55.1515","-","-","6.9665","29.2593","-","-","-","-","-","9.7531","-","2.7866","-","-","2.7866","11.1464","-"
"Ovary_dm_32339165_Jevitt","Main Body-Derived Corpus Luteum","1.51e-1","1.23e-10","-","1.61e-1","1.61e-1","-","-","5.78e-3","5.73e-7","1.00e-25","-","-","1.61e-1","1.00e-25","9.81e-21","5.78e-3","1.61e-1","8.12e-5","2.9027","15.3263","-","2.7866","2.7866","-","-","5.5732","11.1464","44.5856","-","-","2.7866","51.5521","25.0794","5.5732","2.7866","8.3598"
"Ovary_dm_32339165_Jevitt","Mitotic Follicle(Stg. 1-5)","2.75e-5","-","3.47e-5","-","3.38e-3","1.26e-1","1.77e-7","-","-","-","-","1.02e-8","-","-","-","-","-","-","10.1257","-","9.7207","-","6.4805","3.2402","12.9609","-","-","-","-","14.581","-","-","-","-","-","-"
"Ovary_dm_32339165_Jevitt","Muscle Sheath","5.19e-3","-","-","-","5.18e-2","-","-","-","-","-","5.18e-2","-","-","-","-","-","-","5.18e-2","8.5374","-","-","-","5.4639","-","-","-","-","-","5.4639","-","-","-","-","-","-","5.4639"
"Ovary_dm_FCAvs2_10x","ovarian sheath muscle","-","-","1.61e-1","-","3.51e-2","7.36e-6","-","2.32e-9","1.61e-1","3.51e-2","-","-","-","3.51e-2","3.51e-2","-","-","3.88e-8","-","-","2.7866","-","4.1799","9.7531","-","13.933","2.7866","4.1799","-","-","-","4.1799","4.1799","-","-","12.5397"
"Ovary_dm_FCAvs2_10x","oviduct","-","-","-","-","-","1.61e-1","-","1.00e-25","7.56e-4","3.51e-2","-","-","-","-","8.12e-5","-","-","1.00e-25","-","-","-","-","-","2.7866","-","75.2382","6.9665","4.1799","-","-","-","-","8.3598","-","-","64.0918"
"Ovary_dm_32339165_Jevitt","Oviduct cells","1.48e-1","1.58e-1","-","-","1.58e-1","-","-","1.00e-25","7.68e-5","8.66e-15","-","-","-","1.10e-10","2.23e-13","7.68e-5","1.58e-1","4.82e-24","2.932","2.8147","-","-","2.8147","-","-","45.036","8.4442","19.7032","-","-","-","15.4811","18.2959","8.4442","2.8147","28.1475"
"Ovary_dm_32339165_Jevitt","Polar Cells","7.90e-11","-","3.51e-2","3.51e-2","1.17e-17","-","3.51e-2","-","-","1.61e-1","1.23e-10","-","3.51e-2","1.61e-1","-","-","5.78e-3","5.78e-3","15.9649","-","4.1799","4.1799","22.2928","-","4.1799","-","-","2.7866","15.3263","-","4.1799","2.7866","-","-","5.5732","5.5732"
"Ovary_dm_FCAvs2_10x","polar follicle cell","1.00e-25","3.51e-2","-","7.56e-4","1.00e-25","-","-","-","-","3.51e-2","5.92e-12","-","1.61e-1","5.78e-3","3.51e-2","8.12e-5","8.12e-5","8.12e-5","31.9298","4.1799","-","6.9665","45.9789","-","-","-","-","4.1799","16.7196","-","2.7866","5.5732","4.1799","8.3598","8.3598","8.3598"
"Ovary_dm_FCAvs2_10x","post-mitotic endocycling nurse cell","-","-","3.58e-16","-","-","2.52e-22","1.00e-25","-","-","-","-","1.23e-10","-","-","-","-","-","-","-","-","20.8995","-","-","26.4727","45.9789","-","-","-","-","15.3263","-","-","-","-","-","-"
"Ovary_dm_FCAvs2_10x","post-mitotic germ cell early 16-cell cyst","-","-","7.56e-4","-","-","2.32e-9","2.52e-22","-","-","-","-","7.56e-4","-","-","-","-","-","-","-","-","6.9665","-","-","13.933","26.4727","-","-","-","-","6.9665","-","-","-","-","-","-"
"Ovary_dm_FCAvs2_10x","posterior terminal follicle cell ca. St. 5-8","1.09e-22","3.51e-2","-","1.61e-1","2.32e-9","-","-","-","3.51e-2","-","1.00e-25","-","-","-","-","5.78e-3","5.92e-12","1.61e-1","27.5757","4.1799","-","2.7866","13.933","-","-","-","4.1799","-","55.732","-","-","-","-","5.5732","16.7196","2.7866"
"Ovary_dm_31919193_Slaidina","SH","7.07e-11","1.58e-1","1.58e-1","1.58e-1","8.09e-21","1.58e-1","-","1.58e-1","1.58e-1","6.88e-6","2.10e-9","-","-","5.30e-7","7.22e-4","-","1.10e-10","5.30e-7","16.1262","2.8147","2.8147","2.8147","25.3327","2.8147","-","2.8147","2.8147","9.8516","14.0737","-","-","11.259","7.0369","-","15.4811","11.259"
