group,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
0,CadN,47.409096,6.603678,1.8586093986066087e-263,7.288664308261212e-262,0.7360157016683022,0.046899158220237075
0,ct,63.96246,6.082716,0.0,0.0,0.8861629048086359,0.20288610204432228
0,tutl,39.75062,5.816403,6.742715002820207e-212,1.8473191788548513e-210,0.6584887144259077,0.04758632537364714
0,DIP-epsilon,10.207234,5.809388,2.317436250810478e-23,7.815973864453553e-23,0.10107948969578018,0.0032640439786978184
0,fru,56.372158,4.6560264,0.0,0.0,0.8842001962708538,0.27332073526885414
0,eya,38.127,4.369409,5.325342248499112e-206,1.4200912662664299e-204,0.7026496565260059,0.12575158907404227
0,Octalpha2R,22.438852,4.2942553,1.236148061098607e-91,1.134080789998722e-90,0.4013738959764475,0.04775811716199966
0,Sobp,24.89708,3.8285947,1.9520688819394265e-108,2.1451306394938752e-107,0.47105004906771347,0.09139323140353892
0,CG42329,10.553285,3.7655709,8.273951318193548e-25,2.877896110676017e-24,0.12070657507360157,0.014774093798316441
0,Mipp1,27.830587,3.7374113,3.034407349859426e-129,4.334867642656322e-128,0.535819430814524,0.11681841607971138
0,nord,18.117968,3.5838366,3.3278677218996305e-64,2.1966123576895253e-63,0.3140333660451423,0.04861707610376224
0,Kank,39.528355,3.5390582,2.7355523449273896e-223,8.548601077898092e-222,0.788027477919529,0.28689228654870297
0,ab,19.119102,3.4416053,2.0691765058853917e-70,1.4779832184895653e-69,0.3493621197252208,0.06425012884384126
0,CG31176,11.048274,3.0733411,6.0439015908769485e-27,2.1662729716404832e-26,0.1491658488714426,0.029891771173337914
0,Nhe2,16.127821,3.007749,1.4427392613151877e-52,8.486701537148162e-52,0.2855740922473013,0.07301151004981962
0,ed,57.996223,2.951936,0.0,0.0,0.9813542688910697,0.6629445112523621
0,stl,25.376413,2.9452205,9.50537931939781e-114,1.1117402712745976e-112,0.5878312070657508,0.19945026627727194
0,ko,15.170068,2.8772924,2.6967786904509917e-47,1.4306518251729398e-46,0.2698724239450442,0.0707782168012369
0,mld,34.52828,2.8485544,1.8438251476741986e-187,4.338412112174585e-186,0.7870461236506379,0.36849338601614845
0,rgn,29.989563,2.8238587,1.3859519864155137e-150,2.2354064297024413e-149,0.7242394504416094,0.3083662600927676
0,rols,31.640549,2.8154385,6.363417947833661e-166,1.1894239154829274e-164,0.7634936211972522,0.2973715856382065
0,asRNA:CR45185,17.007704,2.801013,9.267018602729161e-58,5.810043011115461e-57,0.3395485770363101,0.10101357155127985
0,klu,19.759262,2.798187,7.825458428522004e-75,5.883803329715792e-74,0.43866535819430813,0.14602302009963924
0,fz2,21.85903,2.7385278,9.348777647445613e-89,8.310024575507211e-88,0.49656526005888124,0.1826146710187253
0,Socs36E,20.656935,2.6887922,9.123720317854116e-81,7.417658795003346e-80,0.478900883218842,0.18708125751589075
1,Osi17,7.3260326,28.914402,3.892979387389096e-12,1.0768960960965688e-11,0.21888412017167383,0.0
1,svp,5.9869885,27.968155,8.06259413683885e-09,1.9128337216699525e-08,0.15450643776824036,0.0
1,CG1273,8.191883,8.662957,1.7280842228429102e-14,5.1816618376099253e-14,0.26609442060085836,0.0016649008627213561
1,Mur11Da,11.81791,8.606037,1.5358335127248076e-25,6.466667421999191e-25,0.43776824034334766,0.00438928409262903
1,CG3168,33.894337,7.7847614,1.604381188238309e-92,2.4874126949431147e-91,0.9570815450643777,0.15256546087482972
1,CG17177,5.1795974,7.1291623,4.822480506335723e-07,1.0315466323712776e-06,0.11587982832618025,0.0012108369910700772
1,Elk,5.988743,6.883612,7.979912934898497e-09,1.895466255320308e-08,0.15879828326180256,0.0015135462388375966
1,Liprin-gamma,24.286144,6.6588306,8.576081637017194e-66,9.914545245106583e-65,0.8540772532188842,0.06477977902224913
1,CG32642,34.628124,6.56688,1.4355211471972737e-94,2.2606632239327146e-93,0.927038626609442,0.20372332374754049
1,hec,11.3821945,6.4399385,3.810300424537577e-24,1.5426317508249302e-23,0.4206008583690987,0.00892992280914182
1,CG13972,5.1441255,6.031228,5.713358543283383e-07,1.2169027781221263e-06,0.11587982832618025,0.002270319358256395
1,CG4066,9.617042,5.9183383,1.2046324109126145e-18,4.1113734160840085e-18,0.3648068669527897,0.019222037233237475
1,mwh,8.290027,5.89039,9.12004253839073e-15,2.776268657044362e-14,0.2832618025751073,0.007719085818071742
1,CG1698,16.647629,5.7391715,1.4592445463295248e-41,9.69597705202342e-41,0.6180257510729614,0.06629332526108672
1,CG10019,6.190856,5.6899877,2.68511597417736e-09,6.5331288909424825e-09,0.18454935622317598,0.00454063871651279
1,side,6.6521235,5.585132,2.048197604396527e-10,5.22499388876665e-10,0.21030042918454936,0.0068109580747691845
1,CG2121,5.0722413,5.4454136,8.038811278531134e-07,1.6888258988510785e-06,0.12017167381974249,0.003481156349326472
