3,chas
3,CG4661
3,numb
3,CG30377
3,Exn
3,fend
4,hh
4,CG32204
4,Wnt4
4,cas
4,upd1
4,Notum
4,robo2
4,shf
4,DIP-theta
4,CG17716
4,pk
4,CG42458
4,CG45263
4,otk
4,CG46339
4,Octalpha2R
4,CG4928
4,Pgant2
4,pdm3
4,sr
4,ths
4,ptc
4,sick
4,CG31431
4,Con
4,tsh
4,qsm
4,fz2
4,side-VIII
4,msi
4,Pura
4,sli
4,CG13506
4,rdo
4,ct
4,NetA
4,CG8547
4,fng
4,Kank
4,CG31808
4,Socs36E
4,Nrt
4,fru
4,Tet
4,Pvf3
4,CG44085
4,drl
4,CG1136
4,zormin
4,Rbp6
4,form3
4,CR33294
4,Fas3
4,CG42329
4,CG34347
4,CG13300
4,Rbfox1
4,stl
4,bbg
4,CG10479
4,Ten-a
4,NK7.1
4,CadN
4,vn
4,Timp
4,Lrch
4,cpo
4,mirr
4,Eip93F
4,sfl
4,CG8306
4,CG42747
4,wb
4,CG11353
4,CG33970
4,CG5004
4,FER
4,snsl
4,CG43658
4,mam
4,ab
4,ymp
4,Ac76E
4,Snoo
4,fax
4,tutl
4,CG34398
4,CG42663
4,CG42788
4,CG1648
4,Syn
4,CG41520
4,Nhe2
4,lncRNA:CR44997
4,bnb
4,Spn
4,Lmpt
4,Mob2
4,Sarm
4,CG42342
5,eag
5,Nlg2
5,lncRNA:CR45667
5,SK
5,Tbh
5,lncRNA:CR45665
5,CG42260
5,lncRNA:CR45666
5,l(2)01289
5,CG15628
5,mAChR-A
5,disco-r
5,Pdfr
5,CG2861
5,X11Lbeta
5,kirre
5,lncRNA:CR44357
5,chinmo
5,Rgk1
5,futsch
5,CG34353
5,CG32719
5,lncRNA:CR46148
5,CG9650
5,lncRNA:CR44833
5,Antp
5,asRNA:CR45481
5,CG7720
5,lncRNA:CR32773
5,sr
5,lncRNA:CR32730
5,CG9380
5,bi
5,CG2839
5,CG12355
5,AGO3
5,FASN3
5,beat-VI
5,CG40498
5,cac
5,hwt
5,Myo81F
5,CG42450
5,ds
5,CG42342
5,zfh1
5,Dhc98D
5,fred
5,CG40006
5,RhoGAP100F
5,bru1
5,rst
5,SKIP
5,Marf1
5,lncRNA:CR44988
5,dpr6
5,Ca-alpha1T
5,Snap25
5,y
5,CG43689
5,qin
5,sas
5,solo
5,Ank2
5,nAChRalpha3
5,GABA-B-R3
5,beat-Ic
5,Dhit
5,SLO2
5,ovo
5,CG32816
5,CG33181
5,Lim1
5,asRNA:CR45189
5,Pde6
5,Hs3st-A
5,nrm
5,CG34355
5,lncRNA:CR43836
5,DIP-lambda
5,bru3
5,nAChRalpha4
5,CG43902
5,rt
5,CG3588
5,CG41520
5,CG32625
5,CG15312
5,rhi
5,c(3)G
5,CG32373
5,CG13954
5,lncRNA:CR45482
5,stai
5,chn
5,lncRNA:CR45224
5,Drep2
5,CG45544
5,smt3
5,CG32354
6,nAChRalpha4
6,dhd
6,scro
6,CG45544
6,solo
6,Marf1
6,asRNA:CR45189
6,Sox102F
6,beat-Ic
6,qin
6,AGO3
6,RpL10
6,fuss
6,snRNA:U12
6,Cyp1
6,dpr6
6,lncRNA:CR34335
6,CG40006
6,CG31999
6,zfh1
6,Oseg1
6,CG32373
6,me31B
6,Df31
6,bru1
6,asRNA:CR44030
6,lncRNA:CR46148
6,RpL38
6,RpL39
6,CG14304
6,Pen
6,Snap25
6,del
6,CG15561
6,SLO2
6,orb
6,rt
6,tral
6,stg
6,DIP-lambda
6,ovo
6,fabp
6,CG2201
6,stai
6,Duox
6,CycB
6,lncRNA:CR45224
6,CG44838
6,SP1029
6,alphaTub67C
6,NaPi-III
6,His2Av
6,Cadps
6,CycA
6,smg
6,CG10702
6,CG15312
6,jigr1
6,BigH1
6,mav
6,Calx
6,Jabba
6,Syt7
6,hoip
6,CG11076
6,lok
6,smt3
6,CG11267
6,rhi
6,SKIP
6,Myo81F
6,armi
6,pgc
6,ATPsynbeta
6,cad
6,Drep2
6,nos
6,Fkbp12
6,yl
6,CG32473
6,CG10254
6,ZnT35C
6,osk
6,zyd
6,Rcc1
6,ND-MLRQ
6,ds
6,Dhit
6,exu
6,COX4
6,Tif-IA
6,ATPsynE
6,Nlp
6,grp
6,wisp
6,gnu
6,ATPsynG
6,CycJ
6,Nufip
6,E23
7,CG1208
7,CG13332
7,Vmat
7,pio
7,ckd
7,Abd-B
7,Pkcdelta
7,frm
7,CG43078
7,CAH1
7,lncRNA:iab8
7,dpy
7,CG10514
7,dar1
7,IRSp53
7,CG17111
7,lncRNA:CR42651
7,CG11892
7,CCHa2
7,SoxN
7,CG6409
7,Tsp29Fb
7,abd-A
7,Ugt49C1
7,CG9400
7,CG15096
7,hth
7,BomT3
7,CG30026
7,CG31997
7,CG14196
7,CG31676
7,CG2145
7,CG17549
7,CG8008
7,CG10433
7,vir-1
7,CG7443
7,CG4607
7,CG12880
7,Alp4
7,Spn27A
7,Blimp-1
7,CG32694
7,Tep4
7,Lim1
7,CG11155
7,CG15394
7,axo
7,CG5397
7,Pkc53E
7,CG14879
7,tnc
7,CG42613
7,Obp57a
7,Ets98B
7,Spn77Ba
7,CG9338
7,Gs2
7,CG18067
7,AttB
7,retn
7,ham
7,CG8369
7,Drip
7,Octbeta2R
7,CG4269
7,hoe1
7,CG16926
7,Pde1c
7,CG9336
7,Picot
7,KCNQ
7,Pde6
7,Snmp1
7,Drat
7,Spn43Ab
7,trv
7,CG14968
7,Treh
7,Fur1
7,CG13631
7,Spn88Ea
7,ringer
7,CG9394
7,CG13299
7,PGRP-SA
7,Sting
7,nec
7,NetB
7,Ptp10D
7,Tsp42Ed
7,Ten-m
7,PGRP-LC
7,Msr-110
7,Idgf3
7,Ncc69
7,CG6357
7,Def
7,CG17278
8,CG8927
8,CG18088
8,CG11131
8,CG13012
8,pwn
8,Vajk4
8,Femcoat
8,CR33319
8,DIP-kappa
8,Pgant9
8,rk
8,Acer
8,CG18268
8,Tusp
8,CG31926
8,CG6055
8,Epac
8,lncRNA:CR44472
8,CG15249
8,CG3014
8,Tie
8,Muc12Ea
8,slif
8,CG13084
8,lncRNA:CR45232
8,f
8,CG42346
8,lncRNA:roX1
8,CG10738
8,CG33128
8,ZnT77C
8,CG31928
8,sprt
8,CG8925
8,CG13083
8,Cp19
8,CG4467
8,Oatp74D
8,fog
